What I need ,Price,how much I need,subtotal,Link
Foam Board,1.25 but covered,0 - covered,0 covered,https://www.dollartree.com/readi-board-white-foam-boards/809955
Reciever and Transmitter,49,1,49,https://www.amazon.com/Flysky-Transmitter-Controller-Helicopter-Quadcopter/dp/B07CWBQ2HM/ref=sr_1_7?dib=eyJ2IjoiMSJ9.ds6mC1TVy-_dxnrA3BmZcP5ZWjjK8mKvp5u_8QzkrXgGZCSghHDTp6Udv6QODkUlUBwwqE24wZqHTwuGmjMC2irbucmMBN_RwmtZWRHcZZ79oK8J5Rv5nEmHnD6l_5pkSp4DkktvJoiSGYfOw1VYMCVYHNUeZ_ZJ2FqGzvYKJn1sUxAGoswS3iXvkUbNylxMG45_Ikvqq74NeX5aJ9R_I-ix3YSWStBupA6aesdd0fZB1erUEbR5R45wd_mTq3-cRmmhWeWuRYB0ZBZnfPcl84hgs0gMvUizpw3148SPho4.IBR-XZ-slo-QKbHaT4BgwE6TXwv-QAqc04pyOv-YDVA&dib_tag=se&keywords=Flysky+FS-i6X+6CH+Transmitter+%2B+Receiver&qid=1765038501&sr=8-7
Motor,1.3,1,1.3,https://www.aliexpress.us/item/3256808539586444.html?spm=a2g0o.productlist.main.3.25e3V5jUV5jU8X&algo_pvid=8b56a0d6-bbbb-4ee5-9d4d-fea0358c5dbd&algo_exp_id=8b56a0d6-bbbb-4ee5-9d4d-fea0358c5dbd-2&pdp_ext_f=%7B%22order%22%3A%22597%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.30%211.30%21%21%2151.27%219.11%21%40210311cc17650841595833035eb6a8%2112000046409800631%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A99a756f3%3Bm03_new_user%3A-29895%3BpisId%3A5000000187773262&curPageLogUid=ceZJ8hLT2aQf&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008725901196%7C_p_origin_prod%3A
ESC,0.99,1,0.99,https://www.aliexpress.us/item/2255799972348074.html?spm=a2g0o.productlist.main.3.214739408W3o59&algo_pvid=f2fc564e-ef65-44bd-831b-40cdf188434b&algo_exp_id=f2fc564e-ef65-44bd-831b-40cdf188434b-2&pdp_ext_f=%7B%22order%22%3A%22773%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.65%210.99%21%21%213.65%210.99%21%402103129f17650842126606147efc79%2112000037993542954%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afc872110%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&curPageLogUid=ilBIBFco87SC&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000158662826%7C_p_origin_prod%3A
Battery ,13.36,1,13.36,https://www.aliexpress.us/item/3256807696474814.html?spm=a2g0o.productlist.main.5.4f236dc1jHNWqP&algo_pvid=eddf0b3d-5d8c-438c-9591-5f5497c973b7&algo_exp_id=eddf0b3d-5d8c-438c-9591-5f5497c973b7-4&pdp_ext_f=%7B%22order%22%3A%2232%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2154.10%2113.36%21%21%21380.15%2193.83%21%402103126e17650842564163196ebbc1%2112000042700557261%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A99a756f3%3Bm03_new_user%3A-29895%3BpisId%3A5000000187773236&curPageLogUid=UsGDekri1XCk&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007882789566%7C_p_origin_prod%3A
Battery Charger,0.99,1,0.99,https://www.aliexpress.us/item/3256807726761504.html?spm=a2g0o.productlist.main.1.32535e3fXRo0A3&algo_pvid=94f14591-2696-4a65-8e7b-70891c52cb02&algo_exp_id=94f14591-2696-4a65-8e7b-70891c52cb02-0&pdp_ext_f=%7B%22order%22%3A%22200%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2115.74%210.99%21%21%21110.62%216.96%21%402103128817650842855074944e43ff%2112000042817966651%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A99a756f3%3Bm03_new_user%3A-29895%3BpisId%3A5000000187773262&curPageLogUid=GSv0ybsPIdjx&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007913076256%7C_p_origin_prod%3A
servos,1.4,10,10.63,https://www.aliexpress.us/item/3256808307504296.html?spm=a2g0o.productlist.main.2.30f028b3pzcnz4&algo_pvid=7f039ffe-b456-4d66-b707-62db46f20bde&algo_exp_id=7f039ffe-b456-4d66-b707-62db46f20bde-1&pdp_ext_f=%7B%22order%22%3A%22149%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2123.13%211.40%21%21%21162.51%219.84%21%40210328db17650843794154413eb58e%2112000045393005769%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A99a756f3%3Bm03_new_user%3A-29895%3BpisId%3A5000000187773262&curPageLogUid=t4DYv3RM6OmX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008493819048%7C_p_origin_prod%3A
PCB,37,1,37,
Propellor,0.99,1,0.99,https://www.aliexpress.us/item/3256808627563508.html?spm=a2g0o.productlist.main.1.f4f547bfiGAHyt&algo_pvid=a1ad0d64-0cd2-4106-8ce4-6869032fd873&algo_exp_id=a1ad0d64-0cd2-4106-8ce4-6869032fd873-0&pdp_ext_f=%7B%22order%22%3A%22109%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.53%210.99%21%21%2152.90%216.91%21%402103122117650844673311692ea617%2112000046777060543%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A99a756f3%3Bm03_new_user%3A-29895%3BpisId%3A5000000187773262&curPageLogUid=IO1T4ouhdBqW&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008813878260%7C_p_origin_prod%3A
Wheels,0.99,1,0.99,https://www.aliexpress.us/item/3256807496744833.html?spm=a2g0o.productlist.main.1.1d223828mlAw60&algo_pvid=5d7436bf-70b6-44e1-a945-b34c1e3c9769&algo_exp_id=5d7436bf-70b6-44e1-a945-b34c1e3c9769-0&pdp_ext_f=%7B%22order%22%3A%22160%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.67%210.99%21%21%2146.89%216.97%21%40210311cc17650845038492864eb686%2112000041807683606%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A99a756f3%3Bm03_new_user%3A-29895%3BpisId%3A5000000187773262&curPageLogUid=uvgA4aadvif1&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007683059585%7C_p_origin_prod%3A
Bullet Connectors ,0.99,1,0.99,https://www.aliexpress.us/item/3256807266204721.html?spm=a2g0o.productlist.main.3.53a01f47XuiqTX&algo_pvid=8095dbf3-32bd-4b97-bd60-0f831d15e367&algo_exp_id=8095dbf3-32bd-4b97-bd60-0f831d15e367-2&pdp_ext_f=%7B%22order%22%3A%221132%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.73%210.99%21%21%2147.30%216.96%21%40210328c017650845404557576eb15b%2112000040815975736%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A99a756f3%3Bm03_new_user%3A-29895%3BpisId%3A5000000187773262&curPageLogUid=FDrBnOgHqD8c&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007452519473%7C_p_origin_prod%3A
Ailerons,0-covered,0-covered,0-covered,3d printed
Hot Glue,covered,covered,covered,covered
,,,,
,,,,
Total,,,116.24,